triangle_index,centroid_x_m,centroid_y_m,centroid_z_m,strain_eqv
400,0.82154277194,0.672451946347,0.0011,0.000142432971684
401,0.62154277194,0.372451946347,0.0011,0.000510573218647
402,0.221542771037,0.472451986601,0.0011,0.0017940218543
403,0.52154277194,0.272451946347,0.0011,0.000778083299013
404,0.121542771037,0.572451986601,0.0011,0.00213731142309
405,0.221542771037,0.272451986601,0.0011,0.00181641648912
406,0.321542771037,0.172451986601,0.0011,0.00144931240538
407,0.521542771037,0.572451986601,0.0011,0.000799530696304
408,0.421542771037,0.272451986601,0.0011,0.00109153586111
409,0.82154277194,0.172451946347,0.0011,0.000115845931891
410,0.421542771037,0.372451986601,0.0011,0.00109209022754
411,0.421542771037,0.472451986601,0.0011,0.00109611087647
412,0.321542771037,0.472451986601,0.0011,0.00143306380469
413,0.121542771037,0.272451986601,0.0011,0.0022207545992
414,0.321542771037,0.272451986601,0.0011,0.00143898261077
415,0.321542771037,0.372451986601,0.0011,0.00143557757941
416,0.62154277194,0.572451946347,0.0011,0.000529998994245
417,0.521542771037,0.772451986601,0.0011,0.000833421807569
418,0.62154277194,0.0724519463467,0.0011,0.000495710647577
419,0.72154277194,0.572451946347,0.0011,0.000304403399958
420,0.121542771037,0.372451986601,0.0011,0.00220072798362
421,0.221542771037,0.572451986601,0.0011,0.00177585760733
422,0.82154277194,0.472451946347,0.0011,0.000131263992324
423,0.121542771037,0.0724519866015,0.0011,0.00230587406014
424,0.421542771037,0.572451986601,0.0011,0.00110256182345
425,0.121542771037,0.472451986601,0.0011,0.0021726478878
426,0.521542771037,0.672451986601,0.0011,0.000814306799341
427,0.321542771037,0.572451986601,0.0011,0.00142991066989
428,0.121542771037,0.672451986601,0.0011,0.00209326916692
429,0.421542771037,0.772451986601,0.0011,0.00113050868593
430,0.72154277194,0.672451946347,0.0011,0.000315415874128
431,0.121542771037,0.772451986601,0.0011,0.00203901685226
432,0.721542771037,0.772451986601,0.0011,0.000326992810471
433,0.321542771037,0.772451986601,0.0011,0.00143679385821
434,0.62154277194,0.772451946347,0.0011,0.000560894733387
435,0.921542771037,0.472451986601,0.0011,5.04491745479e-05
436,0.421542771037,0.672451986601,0.0011,0.00111305552331
437,0.421542771037,0.0724519866015,0.0011,0.00111262302393
438,0.321542771037,0.672451986601,0.0011,0.0014289202041
439,0.921542771037,0.572451986601,0.0011,4.91400334281e-05
440,0.62154277194,0.672451946347,0.0011,0.000544302268212
441,0.921542771037,0.372451986601,0.0011,5.0312868818e-05
442,0.921542771037,0.772451986601,0.0011,4.21199972815e-05
443,0.82154277194,0.572451946347,0.0011,0.000136555751292
444,0.82154277194,0.372451946347,0.0011,0.00012686734354
445,0.321542771037,0.0724519866015,0.0011,0.00148073189958
446,0.221542771037,0.772451986601,0.0011,0.00173953890464
447,0.82154277194,0.0724519463467,0.0011,0.000102351491606
448,0.221542771037,0.0724519866015,0.0011,0.00187978156161
449,0.921542771037,0.0724519866015,0.0011,2.78402291469e-05
450,0.921542771037,0.272451986601,0.0011,4.79629426886e-05
451,0.0218965813954,0.972604461581,0.0011,0.00204049703105
452,0.0218965837213,0.172604420296,0.0011,0.00269667253915
453,0.0218965828192,0.872604460551,0.0011,0.0022937201313
454,0.0218965837213,0.472604420296,0.0011,0.00258753307065
455,0.0218965828192,0.672604460551,0.0011,0.00249332238027
456,0.0218965837213,0.0726044202958,0.0011,0.00263365960584
457,0.0218965837213,0.572604420296,0.0011,0.0025448355901
458,0.0218965837213,0.372604420296,0.0011,0.00262866655832
459,0.0218965837213,0.272604420296,0.0011,0.00266893396377
460,0.0218965828192,0.772604460551,0.0011,0.00242285078185
461,0.774351976707,0.00321422157846,0.0011,5.51016602046e-05
462,0.574351976707,0.00321422157846,0.0011,0.000201220950085
463,0.674351976707,0.00321422157846,0.0011,0.000118316735686
464,0.174351976707,0.00321422157846,0.0011,0.000650636499865
465,0.474351976707,0.00321422157846,0.0011,0.000300442777144
466,0.274351976707,0.00321422157846,0.0011,0.000527362538631
467,0.374351976707,0.00321422157846,0.0011,0.000408395474752
468,0.0743519767069,0.00321422157846,0.0011,0.000808138082738
